namespace,name,bits,fx,a2,a6,n,h,gx,gy
x962,c2tnb239v1,239,"[239, 36, 0]",0x32010857077c5431123a46b808906756f543423e8d27877578125778ac76,0x790408f2eedaf392b012edefb3392f30f4327c0ca3f31fc383c422aa8c16,0x2000000000000000000000000000000f4d42ffe1492a4993f1cad666e447,0x4,0x57927098fa932e7c0a96d3fd5b706ef7e5f5c156e16b7e7c86038552e91d,0x61d8ee5077c33fecf6f1a16b268de469c3c7744ea9a971649fc7a9616305
x962,c2tnb239v2,239,"[239, 36, 0]",0x4230017757a767fae42398569b746325d45313af0766266479b75654e65f,0x5037ea654196cff0cd82b2c14a2fcf2e3ff8775285b545722f03eacdb74b,0x1555555555555555555555555555553c6f2885259c31e3fcdf154624522d,0x6,0x28f9d04e900069c8dc47a08534fe76d2b900b7d7ef31f5709f200c4ca205,0x5667334c45aff3b5a03bad9dd75e2c71a99362567d5453f7fa6e227ec833
x962,c2tnb239v3,239,"[239, 36, 0]",0x1238774666a67766d6676f778e676b66999176666e687666d8766c66a9f,0x6a941977ba9f6a435199acfc51067ed587f519c5ecb541b8e44111de1d40,0xcccccccccccccccccccccccccccccac4912d2d9df903ef9888b8a0e4cff,0xa,0x70f6e9d04d289c4e89913ce3530bfde903977d42b146d539bf1bde4e9c92,0x2e5a0eaf6e5e1305b9004dce5c0ed7fe59a35608f33837c816d80b79f461
x962,c2tnb359v1,359,"[359, 68, 0]",0x5667676a654b20754f356ea92017d946567c46675556f19556a04616b567d223a5e05656fb549016a96656a557,0x2472e2d0197c49363f1fe7f5b6db075d52b6947d135d8ca445805d39bc345626089687742b6329e70680231988,0x1af286bca1af286bca1af286bca1af286bca1af286bc9fb8f6b85c556892c20a7eb964fe7719e74f490758d3b,0x4c,0x3c258ef3047767e7ede0f1fdaa79daee3841366a132e163aced4ed2401df9c6bdcde98e8e707c07a2239b1b097,0x53d7e08529547048121e9c95f3791dd804963948f34fae7bf44ea82365dc7868fe57e4ae2de211305a407104bd
x962,c2tnb431r1,431,"[431, 120, 0]",0x1a827ef00dd6fc0e234caf046c6a5d8a85395b236cc4ad2cf32a0cadbdc9ddf620b0eb9906d0957f6c6feacd615468df104de296cd8f,0x10d9b4a3d9047d8b154359abfb1b7f5485b04ceb868237ddc9deda982a679a5a919b626d4e50a8dd731b107a9962381fb5d807bf2618,0x340340340340340340340340340340340340340340340340340340323c313fab50589703b5ec68d3587fec60d161cc149c1ad4a91,0x2760,0x120fc05d3c67a99de161d2f4092622feca701be4f50f4758714e8a87bbf2a658ef8c21e7c5efe965361f6c2999c0c247b0dbd70ce6b7,0x20d0af8903a96f8d5fa2c255745d3c451b302c9346d9b7e485e7bce41f6b591f3e8f6addcbb0bc4c2f947a7de1a89b625d6a598b3760
nist,B-163,163,"[163, 7, 6, 3, 0]",0x1,0x20a601907b8c953ca1481eb10512f78744a3205fd,0x40000000000000000000292fe77e70c12a4234c33,0x2,0x3f0eba16286a2d57ea0991168d4994637e8343e36,0xd51fbc6c71a0094fa2cdd545b11c5c0c797324f1
nist,B-233,233,"[233, 74, 0]",0x1,0x66647ede6c332c7f8c0923bb58213b333b20e9ce4281fe115f7d8f90ad,0x1000000000000000000000000000013e974e72f8a6922031d2603cfe0d7,0x2,0xfac9dfcbac8313bb2139f1bb755fef65bc391f8b36f8f8eb7371fd558b,0x1006a08a41903350678e58528bebf8a0beff867a7ca36716f7e01f81052
nist,B-283,283,"[283, 12, 7, 5, 0]",0x1,0x27b680ac8b8596da5a4af8a19a0303fca97fd7645309fa2a581485af6263e313b79a2f5,0x3ffffffffffffffffffffffffffffffffffef90399660fc938a90165b042a7cefadb307,0x2,0x5f939258db7dd90e1934f8c70b0dfec2eed25b8557eac9c80e2e198f8cdbecd86b12053,0x3676854fe24141cb98fe6d4b20d02b4516ff702350eddb0826779c813f0df45be8112f4
nist,B-409,409,"[409, 87, 0]",0x1,0x21a5c2c8ee9feb5c4b9a753b7b476b7fd6422ef1f3dd674761fa99d6ac27c8a9a197b272822f6cd57a55aa4f50ae317b13545f,0x10000000000000000000000000000000000000000000000000001e2aad6a612f33307be5fa47c3c9e052f838164cd37d9a21173,0x2,0x15d4860d088ddb3496b0c6064756260441cde4af1771d4db01ffe5b34e59703dc255a868a1180515603aeab60794e54bb7996a7,0x61b1cfab6be5f32bbfa78324ed106a7636b9c5a7bd198d0158aa4f5488d08f38514f1fdf4b4f40d2181b3681c364ba0273c706
nist,B-571,571,"[571, 10, 5, 2, 0]",0x1,0x2f40e7e2221f295de297117b7f3d62f5c6a97ffcb8ceff1cd6ba8ce4a9a18ad84ffabbd8efa59332be7ad6756a66e294afd185a78ff12aa520e4de739baca0c7ffeff7f2955727a,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe661ce18ff55987308059b186823851ec7dd9ca1161de93d5174d66e8382e9bb2fe84e47,0x2,0x303001d34b856296c16c0d40d3cd7750a93d1d2955fa80aa5f40fc8db7b2abdbde53950f4c0d293cdd711a35b67fb1499ae60038614f1394abfa3b4c850d927e1e7769c8eec2d19,0x37bf27342da639b6dccfffeb73d69d78c6c27a6009cbbca1980f8533921e8a684423e43bab08a576291af8f461bb2a8b3531d2f0485c19b16e2f1516e23dd3c1a4827af1b8ac15b
